Dataset,Subject,Time,Binding,Vaccine Scheme,Figure
2016 Tam,Mouse_17,Day7,0.033422,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day14,0.871093,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day21,0.775874,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day28,5.69638,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day35,7.611693,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day42,10.1817,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day49,10.48006,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day56,10.5601,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day63,8.480262,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day70,9.083342,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day77,9.930858,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day84,8.125062,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day125,3.977618,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day139,4.609733,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day7,0.08599,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day14,0.660449,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day21,0.358593,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day28,3.250728,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day35,6.704809,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day42,4.450679,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day49,4.760833,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day56,7.022513,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day63,4.426054,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day70,6.654605,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day77,5.254712,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day84,5.196591,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
